epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58812,0.83092,3.20808,1.34265,0.01226,0.8374,0.21543,0.16609,0.73678,2.8055,1.4608,0.000272525,0.000272525,0.000272525
2,15.4725,0.90531,2.49805,1.37537,0.27968,0.30893,0.28162,0.20973,0.88936,2.09618,1.52879,0.000532035,0.000532035,0.000532035
3,22.0666,0.85577,2.15036,1.3092,0.29461,0.44472,0.28723,0.22093,0.97389,2.11873,1.62821,0.000773219,0.000773219,0.000773219
4,28.6871,0.90058,2.06625,1.34991,0.21347,0.4193,0.24678,0.18593,0.96621,2.15868,1.63613,0.000750533,0.000750533,0.000750533
5,35.2297,0.88187,1.9314,1.33624,0.36952,0.47036,0.24555,0.20284,0.84175,2.16988,1.54467,0.000723044,0.000723044,0.000723044
6,41.827,0.85991,1.7768,1.30759,0.24469,0.38029,0.22531,0.17886,0.97888,2.62299,1.63302,0.000695555,0.000695555,0.000695555
7,48.3973,0.82529,1.75209,1.31732,0.31085,0.48036,0.41739,0.34994,0.79502,1.93708,1.44316,0.000668066,0.000668066,0.000668066
8,54.9326,0.83541,1.69551,1.31659,0.34667,0.42888,0.37459,0.29955,0.90006,2.28442,1.54197,0.000640577,0.000640577,0.000640577
9,61.4499,0.79229,1.57251,1.27618,0.354,0.50225,0.43821,0.34405,0.89434,1.94501,1.48648,0.000613088,0.000613088,0.000613088
10,68.0168,0.80406,1.48679,1.27147,0.41151,0.48969,0.42032,0.31629,1.13174,1.86494,1.71531,0.000585599,0.000585599,0.000585599
11,74.6062,0.78972,1.47596,1.27094,0.65536,0.41296,0.45805,0.38766,0.87875,1.72041,1.54892,0.00055811,0.00055811,0.00055811
12,81.4208,0.75869,1.36124,1.23705,0.65676,0.39833,0.45515,0.38855,0.85435,1.64169,1.48179,0.000530621,0.000530621,0.000530621
13,88.0614,0.73743,1.33241,1.23269,0.4044,0.51769,0.44507,0.36373,0.83505,1.82425,1.44731,0.000503132,0.000503132,0.000503132
14,94.6186,0.72275,1.26464,1.22465,0.47416,0.48788,0.46686,0.37767,0.93516,1.9001,1.50224,0.000475643,0.000475643,0.000475643
15,101.243,0.7116,1.23779,1.21087,0.57864,0.55309,0.52552,0.43364,0.84256,1.69808,1.47587,0.000448154,0.000448154,0.000448154
16,107.812,0.70323,1.1434,1.1972,0.54882,0.51514,0.5208,0.42425,0.85332,1.72827,1.46693,0.000420665,0.000420665,0.000420665
17,114.406,0.70918,1.13207,1.20947,0.60075,0.49413,0.54095,0.46013,0.82769,1.54263,1.49817,0.000393176,0.000393176,0.000393176
18,120.973,0.67725,1.05345,1.1846,0.48232,0.58642,0.53721,0.45226,0.80347,1.56136,1.44196,0.000365687,0.000365687,0.000365687
19,127.5,0.67408,1.04314,1.19404,0.75409,0.53606,0.5638,0.47476,0.75884,1.46441,1.4202,0.000338198,0.000338198,0.000338198
20,134.08,0.64488,0.97405,1.16017,0.62767,0.52747,0.56922,0.48656,0.76323,1.53363,1.39683,0.000310709,0.000310709,0.000310709
21,156.273,0.56938,0.95809,1.18001,0.68687,0.46232,0.54505,0.482,0.74143,1.57406,1.39997,0.00028322,0.00028322,0.00028322
22,162.955,0.55223,0.87111,1.15557,0.6571,0.57355,0.56831,0.4871,0.81655,1.48051,1.47609,0.000255731,0.000255731,0.000255731
23,169.583,0.53424,0.82722,1.15643,0.66829,0.51685,0.56638,0.49752,0.76229,1.45555,1.40627,0.000228242,0.000228242,0.000228242
24,176.27,0.51173,0.77168,1.12453,0.62678,0.51601,0.51229,0.43064,0.78741,1.65155,1.43165,0.000200753,0.000200753,0.000200753
25,182.902,0.48523,0.71924,1.11053,0.71249,0.5482,0.56749,0.48503,0.74718,1.46183,1.4251,0.000173264,0.000173264,0.000173264
26,189.436,0.46385,0.66804,1.08139,0.68793,0.55202,0.57752,0.50472,0.72552,1.41922,1.39529,0.000145775,0.000145775,0.000145775
27,196.009,0.47197,0.65443,1.08145,0.63098,0.56466,0.55901,0.48536,0.71787,1.41598,1.38301,0.000118286,0.000118286,0.000118286
28,202.584,0.44171,0.60924,1.0686,0.65109,0.55432,0.56957,0.49511,0.71654,1.40407,1.37804,9.0797e-05,9.0797e-05,9.0797e-05
29,209.16,0.44059,0.6002,1.05773,0.6838,0.54998,0.55406,0.48634,0.67248,1.47354,1.34711,6.3308e-05,6.3308e-05,6.3308e-05
30,215.753,0.4245,0.57606,1.05165,0.67885,0.57454,0.57478,0.50425,0.67656,1.4034,1.35299,3.5819e-05,3.5819e-05,3.5819e-05
